BUYER_COUNTY,BUYER_STATE,Year,MME,CALC_BASE_WT_IN_GM
ADDISON,VT,2011,8691216.877950002,6299.0481853
ADDISON,VT,2012,7912600.9031625,5738.1982687750005
ADDISON,VT,2013,7454564.6149875,5456.6834133249995
ADDISON,VT,2014,6672260.4684,4866.656395599999
ADDISON,VT,2015,6556996.4112,4708.0241508
ADDISON,VT,2016,6624535.5912,4711.0153308
ADDISON,VT,2017,5005520.0289,3553.6456525999997
ADDISON,VT,2018,4300058.6850000005,3044.01736
ADDISON,VT,2019,3649105.725,2607.59685
ADJUNTAS,PR,2006,757143.0750000001,519.1403
ADJUNTAS,PR,2007,778930.6499999999,538.91215
ADJUNTAS,PR,2008,418789.42500000005,307.84855
ADJUNTAS,PR,2009,396783.3,301.7543
ADJUNTAS,PR,2010,468265.5,343.20374999999996
ADJUNTAS,PR,2011,558168.0750000001,407.7802
ADJUNTAS,PR,2012,461164.2,332.51645
ADJUNTAS,PR,2013,480124.65,344.75315
ADJUNTAS,PR,2014,456409.65,318.34864999999996
ADJUNTAS,PR,2015,532152.3,368.54105
ADJUNTAS,PR,2016,533407.425,365.08955
ADJUNTAS,PR,2017,432196.27499999997,296.1524
ADJUNTAS,PR,2018,347710.125,238.113
ADJUNTAS,PR,2019,350310.0,235.55799999999996
AGUADA,PR,2006,364814.925,261.27105
AGUADA,PR,2007,333076.05,236.4794
AGUADA,PR,2008,274252.5,188.63675
AGUADA,PR,2009,280460.475,196.86185
AGUADA,PR,2010,326033.25,229.21125
AGUADA,PR,2011,333216.3,238.1873
AGUADA,PR,2012,281041.575,204.61495
AGUADA,PR,2013,327996.525,240.8119
AGUADA,PR,2014,253406.25,172.72125
AGUADA,PR,2015,250123.5,166.749
AGUADA,PR,2016,336859.875,224.57325
AGUADA,PR,2017,477185.32499999995,318.72895
AGUADA,PR,2018,438120.6,292.88759999999996
AGUADA,PR,2019,591690.0,394.46
AGUADILLA,PR,2006,1843524.7625000002,1270.838225
AGUADILLA,PR,2007,1940208.4875,1327.021575
AGUADILLA,PR,2008,1803367.275,1237.6103
AGUADILLA,PR,2009,1841676.8625,1259.870775
AGUADILLA,PR,2010,2025237.7875,1397.127475
AGUADILLA,PR,2011,2141966.1,1465.1086
AGUADILLA,PR,2012,1781707.2413625,1241.685427575
AGUADILLA,PR,2013,1662637.2374999998,1164.071175
AGUADILLA,PR,2014,1529639.9625000001,1061.330775
AGUADILLA,PR,2015,1614726.3825,1131.535295
AGUADILLA,PR,2016,1875161.4,1282.3955999999998
AGUADILLA,PR,2017,1477027.485,1008.8303599999999
AGUADILLA,PR,2018,1393662.6375,952.9208249999999
AGUADILLA,PR,2019,1131583.8,775.22505
AGUAS BUENAS,PR,2006,219835.95000000004,155.7392
AGUAS BUENAS,PR,2007,190148.55000000002,135.2413
AGUAS BUENAS,PR,2008,182308.5,131.88125
AGUAS BUENAS,PR,2009,124176.3,86.97155
AGUAS BUENAS,PR,2010,166084.5,116.77699999999999
AGUAS BUENAS,PR,2011,161970.405,114.68002999999999
AGUAS BUENAS,PR,2012,168650.55,126.9633
AGUAS BUENAS,PR,2013,187712.775,139.97415
AGUAS BUENAS,PR,2014,169749.075,119.32095000000001
AGUAS BUENAS,PR,2015,138509.25,92.3395
AGUAS BUENAS,PR,2016,130440.75,86.9605
AGUAS BUENAS,PR,2017,97494.375,64.99624999999999
AGUAS BUENAS,PR,2018,111614.25,74.4095
AGUAS BUENAS,PR,2019,24205.5,16.137
AIBONITO,PR,2006,1395628.725,942.4766999999999
AIBONITO,PR,2007,1369097.0250000001,926.706
AIBONITO,PR,2008,973921.65,661.94405
AIBONITO,PR,2009,904094.8500000001,617.6631
AIBONITO,PR,2010,1172791.725,796.0376
AIBONITO,PR,2011,1288087.95,873.4567
AIBONITO,PR,2012,1475330.9250000003,1000.8583
AIBONITO,PR,2013,1482697.5,1008.89725
AIBONITO,PR,2014,1654253.925,1110.30255
AIBONITO,PR,2015,1253851.9875,841.349925
AIBONITO,PR,2016,1243293.5999999999,832.6966
AIBONITO,PR,2017,1080276.15,723.9174
AIBONITO,PR,2018,1140318.45,763.3402
AIBONITO,PR,2019,783657.0,525.4649999999999
AIKEN,SC,2006,28106759.579350002,21700.7923779
AIKEN,SC,2007,35226764.2563,27207.0783892
AIKEN,SC,2008,40749272.964325,31537.07849955
AIKEN,SC,2009,47083090.912200004,36477.5733698
AIKEN,SC,2010,53378371.41401251,41056.510112675
AIKEN,SC,2011,63013176.794175,47920.071569449996
AIKEN,SC,2012,70094666.0014125,52814.486249274996
